id;Year2;GDPPC2;Infl2;DemocracyScore2;Lifeexp2;CorrPI2
1;2021;16261.8;2.041471631;6.11;76.463;35
2;2024;15347.53;9.322173759;3.66;76.26;36
3;2023;64526.56;;;83.552;
4;2022;7407.11;21.35529013;3.96;61.929;33
5;2023;28665.6;5.067138654;;79.236;
6;2023;26466.55;;6.62;76.064;37
7;2021;16899.07;7.184836294;5.49;72.043;49
8;2022;59099.85;6.594096713;8.71;83.579;75
9;2022;65836.89;8.546869932;8.2;82.412;71
10;2024;21349.35;8.785430498;2.8;74.43;23
11;2021;28510.91;2.904912629;;71.598;64
12;2022;56663.18;3.625741043;2.52;79.246;44
13;2024;8171.52;9.883503038;5.87;74.67;24
14;2020;26731.49;5.548143575;2.59;72.513;47
15;2024;63572.49;4.049010776;7.64;82.11;73
16;2020;9934.86;0.121434645;;72.854;
17;2021;3575.31;1.733539627;4.19;59.821;42
18;2024;14033.62;4.23;5.54;82.31;68
19;2020;8910.59;0.940742153;5.08;64.467;31
20;2022;19395.93;14.01;5;75.293;34
21;2024;17471.34;5.067615493;7.73;69.16;59
22;2022;18122.57;9.28010609;6.78;73.425;38
23;2020;861;7.321106434;2.14;61.566;19
24;2023;5069.41;2.127467966;3.05;69.896;22
25;2018;4797.21;1.068858113;3.28;61.18;25
26;2021;55781.7;3.395193185;8.87;82.656;74
27;2021;3489.97;1.862152975;7.65;74.052;58
28;2021;1057.19;4.259364175;1.43;53.895;24
29;2024;1775.06;10.83635684;;;20
30;2021;29050.08;4.524568383;7.92;78.944;67
31;2022;18739.12;10.17723135;6.72;73.659;39
32;2024;3474.58;8.48;3.04;66.78;20
33;2023;1506.045667;19.89;1.48;59.743;20
34;2022;24650.49;8.274774902;8.29;77.32;54
35;2020;2350.75;2.425006568;4.11;59.032;36
36;2024;41343.52;7.941281776;6.5;78.58;50
37;2023;50578.36;3.541341888;7.38;81.889;53
38;2021;48418.11579;3.839844915;7.74;77.728;54
39;2022;71224.34;7.696566999;9.28;81.882;90
40;2021;6032.28;1.181917753;2.74;62.305;30
41;2024;23084.46;4.78561281;6.44;73.72;35
42;2023;14304.92;2.215687642;5.41;77.894;34
43;2023;16960.56732;33.88477631;2.93;70.159;35
44;2024;11305.22;4.045546942;4.71;72.1;31
45;2022;18320.24;4.786717047;1.92;61.19;17
46;2023;41997.77;9.15922508;7.96;79.155;76
47;2021;2628.34;26.83952216;3.3;64.975;39
48;2022;12643.93;4.520192664;5.55;68.312;53
49;2024;57505.51;6.250643222;9.3;81.91;87
50;2022;54988.33;5.222367484;8.07;83.229;72
51;2021;2710.55;7.370347589;4.41;62.083;37
52;2024;22246.85;2.487760566;5.2;74.5;53
53;2021;61939.65;3.066666667;8.67;80.63;80
54;2020;6354.38;9.887289563;6.5;64.114;43
55;2023;36267.69;3.464801285;8.14;80.614;49
56;2023;12679.08;6.206575923;4.47;68.674;23
57;2019;2205.99;0.246600268;2.63;60.882;18
58;2020;19490.65;0.993337023;6.01;68.486;41
59;2021;6209.94;4.480879634;5.1;70.123;23
60;2022;40699.57;14.60814395;6.64;74.958;42
61;2021;61966.42;4.444239702;9.18;82.678;74
62;2024;9172.1;5.649143189;7.18;72;39
63;2024;14072.85;3.670131424;6.53;71.15;34
64;2024;16153.99;44.57918576;;;24
65;2021;12596.53;6.041864891;3.51;70.378;23
66;2020;100077.4;-0.326183651;9.05;82.47;72
67;2022;48318.89;4.393596659;7.93;82.601;63
68;2022;52060.33;8.201289912;7.69;84.057;56
69;2020;9211.85;5.226777793;7.13;71.869;44
70;2024;46268.42;3.268133659;8.4;84.71;73
71;2024;9421;2.084869863;3.04;77.81;46
72;2022;34188.21;15.02786444;3.08;69.489;36
73;2022;5513.86;7.659862683;5.05;62.055;32
74;2024;3174.38;9.28;;;
75;2024;50824.72;3.64216403;3.5;80.41;46
76;2021;1365.51;11.90503982;3.62;69.977;27
77;2021;2535.62;3.755620367;1.77;68.061;30
78;2022;37967.47;17.31028302;7.37;75.927;59
79;2022;12007.23;171.2054913;3.64;74.416;24
80;2022;2522.39;8.271803899;6.19;53.036;37
81;2023;1639.63;10.9;5.57;61.1;25
82;2021;;;;83.257;
83;2024;46210.4;9.117319624;7.31;76.03;61
